datatype,kind,id,latitude,longitude,city,type,status,country
physicalStore,Zara,13342,40.763523,-73.966708,NEW YORK,Street,OPEN,United States
physicalStore,Zara,1260,40.7598859,-73.9762248,NEW YORK,Street,OPEN,United States
physicalStore,Zara,11818,40.7532,-74.00075,NEW YORK,Mall,OPEN,United States
physicalStore,Zara,3946,40.7743313,-73.9822199,NEW YORK,Street,OPEN,United States
physicalStore,Zara,10815,40.72709,-74.03771,JERSEY CITY,Mall,OPEN,United States
physicalStore,Zara,6476,40.8093889,-74.0674167,EAST RUTHERFORD,Mall,OPEN,United States
physicalStore,Zara,12213,40.5818414,-74.1668656,STATEN ISLAND,Mall,OPEN,United States
physicalStore,Zara,351,40.736792,-73.611897,GARDEN CITY,Mall,OPEN,United States
physicalStore,Zara,6464,40.92829,-73.85432,YONKERS,Mall,OPEN,United States
physicalStore,Zara,10988,40.917988,-74.076282,PARAMUS,Mall,OPEN,United States
physicalStore,Zara,3526,34.706001,135.499685,OSAKA,Street,OPEN,Japan
physicalStore,Zara,3551,34.670135,135.501605,OSAKA,Street,OPEN,Japan
physicalStore,Zara,9131,34.645252,135.51361,OSAKA,Mall,OPEN,Japan
physicalStore,Zara,9138,34.717228,135.36467,NISHINOMIYA,Mall,OPEN,Japan
physicalStore,Zara,6469,34.80403,135.53429,SUITA,Mall,OPEN,Japan
physicalStore,Zara,10276,34.74648,135.629248,SHIJONAWATE,Mall,OPEN,Japan
physicalStore,Zara,4836,34.861655,135.677934,HIRAKATA,Mall,OPEN,Japan
physicalStore,Zara,3767,34.691212,135.193487,KOBE,Street,OPEN,Japan
physicalStore,Zara,9297,34.4376745,135.45006139,IZUMI,Mall,OPEN,Japan
physicalStore,Zara,14823,34.67996,135.1821,KOBE,Mall,OPEN,Japan
physicalStore,Zara,7018,-22.956936,-43.176837,RIO DE JANEIRO,Mall,OPEN,Brazil
physicalStore,Zara,7038,-22.982402,-43.216807,RIO DE JANEIRO,Mall,OPEN,Brazil
physicalStore,Zara,7017,-22.99821,-43.3561,RIO DE JANEIRO,Mall,OPEN,Brazil
physicalStore,Zara,9184,12.991003,80.216689,CHENNAI,Mall,OPEN,India
physicalStore,Zara,11857,34.07561,-118.37711,LOS ANGELES,Mall,OPEN,United States
physicalStore,Zara,3612,34.0581377,-118.4195545,LOS ANGELES,Mall,OPEN,United States
physicalStore,Zara,3985,34.0725012,-118.359696,LOS ANGELES,Mall,OPEN,United States
physicalStore,Zara,3723,34.1012174,-118.3404209,LOS ANGELES,Street,OPEN,United States
physicalStore,Zara,3322,34.01611944,-118.49679722,SANTA MONICA,Street,OPEN,United States
physicalStore,Zara,3844,34.14537,-118.25933,GLENDALE,Mall,OPEN,United States
physicalStore,Zara,6493,34.04861,-118.2611,LOS ANGELES,Mall,OPEN,United States
physicalStore,Zara,3614,34.18925,-118.60294999999999,CANOGA PARK,Mall,OPEN,United States
physicalStore,Zara,6362,17.4841309,78.389184,HYDERABAD,Mall,OPEN,India
physicalStore,Zara,7081,-12.090043,-77.052408,LIMA,Mall,OPEN,Peru
physicalStore,Zara,989,-12.093107,-77.02508,LIMA,Mall,OPEN,Peru
physicalStore,Zara,11678,-11.993643,-77.061841,LIMA,Mall,OPEN,Peru
physicalStore,Zara,6484,-11.980421,-77.086186,LIMA,Street,OPEN,Peru
